Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
54,Tyrone Corbin,SF,24,CLE,32,0,438,43,117,0.368,1,4,0.25,42,113,0.372,0.372,42,57,0.737,36,60,96,17,17,2,20,48,129
55,Dave Corzine,C,30,CHI,82,39,2287,294,619,0.475,0,5,0,294,614,0.479,0.475,95,129,0.736,199,341,540,209,38,87,114,202,683
56,Pat Cummings,PF,30,NYK,49,11,1056,172,382,0.45,0,0,,172,382,0.45,0.45,79,110,0.718,123,189,312,38,26,7,85,145,423
57,Terry Cummings,PF,25,MIL,82,77,2770,729,1426,0.511,0,3,0,729,1423,0.512,0.511,249,376,0.662,214,486,700,229,129,81,172,296,1707
58,Earl Cureton,C,29,TOT,78,47,1973,243,510,0.476,0,2,0,243,508,0.478,0.476,82,152,0.539,212,240,452,122,33,56,80,188,568
58,Earl Cureton,C,29,CHI,43,36,1105,129,276,0.467,0,1,0,129,275,0.469,0.467,39,73,0.534,113,114,227,70,15,26,45,102,297
58,Earl Cureton,C,29,LAC,35,11,868,114,234,0.487,0,1,0,114,233,0.489,0.487,43,79,0.544,99,126,225,52,18,30,35,86,271
59,Dell Curry,SG,22,UTA,67,0,636,139,326,0.426,17,60,0.283,122,266,0.459,0.452,30,38,0.789,30,48,78,58,27,4,44,86,325
60,Quintin Dailey,SG,26,LAC,49,5,924,200,491,0.407,1,10,0.1,199,481,0.414,0.408,119,155,0.768,34,49,83,79,43,8,71,113,520
61,Adrian Dantley*,SF,30,DET,81,81,2736,601,1126,0.534,1,6,0.167,600,1120,0.536,0.534,539,664,0.812,104,228,332,162,63,7,181,193,1742
62,Brad Daugherty,C,21,CLE,80,80,2695,487,905,0.538,0,0,,487,905,0.538,0.538,279,401,0.696,152,495,647,304,49,63,248,248,1253
63,Brad Davis,PG,31,DAL,82,6,1582,199,436,0.456,32,106,0.302,167,330,0.506,0.493,147,171,0.86,27,87,114,373,63,10,114,159,577
64,Walter Davis,SG,32,PHO,79,79,2646,779,1515,0.514,21,81,0.259,758,1434,0.529,0.521,288,334,0.862,90,154,244,364,96,5,226,184,1867
65,Darryl Dawkins,C,30,NJN,6,2,106,20,32,0.625,0,0,,20,32,0.625,0.625,17,24,0.708,9,10,19,2,2,3,15,25,57
66,Johnny Dawkins,PG,23,SAS,81,14,1682,334,764,0.437,14,47,0.298,320,717,0.446,0.446,153,191,0.801,56,113,169,290,67,3,120,118,835
67,Darren Daye,SF,26,TOT,62,2,731,101,202,0.5,0,0,,101,202,0.5,0.5,34,65,0.523,37,88,125,76,25,7,57,100,236
67,Darren Daye,SF,26,CHI,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,2,0
67,Darren Daye,SF,26,BOS,61,2,724,101,202,0.5,0,0,,101,202,0.5,0.5,34,65,0.523,37,87,124,75,25,7,56,98,236
68,James Donaldson,C,29,DAL,82,82,3028,311,531,0.586,0,0,,311,531,0.586,0.586,267,329,0.812,295,678,973,63,51,136,104,191,889
69,Bruce Douglas,SG,22,SAC,8,1,98,7,24,0.292,0,1,0,7,23,0.304,0.292,0,4,0,5,9,14,17,9,0,9,9,14
70,Greg Dreiling,C,24,IND,24,0,128,16,37,0.432,0,0,,16,37,0.432,0.432,10,12,0.833,12,31,43,7,2,2,7,42,42
71,Larry Drew,PG,28,LAC,60,22,1566,295,683,0.432,12,72,0.167,283,611,0.463,0.441,139,166,0.837,26,77,103,326,60,2,151,107,741
72,Clyde Drexler*,SG,24,POR,82,82,3114,707,1408,0.502,11,47,0.234,696,1361,0.511,0.506,357,470,0.76,227,291,518,566,204,71,253,281,1782
73,Kevin Duckworth,C,22,TOT,65,1,875,130,273,0.476,0,1,0,130,272,0.478,0.476,92,134,0.687,76,147,223,29,21,21,78,192,352
73,Kevin Duckworth,C,22,SAS,14,1,122,18,45,0.4,0,0,,18,45,0.4,0.4,9,14,0.643,13,18,31,6,5,3,4,27,45
73,Kevin Duckworth,C,22,POR,51,0,753,112,228,0.491,0,1,0,112,227,0.493,0.491,83,120,0.692,63,129,192,23,16,18,74,165,307
74,Joe Dumars*,SG,23,DET,79,75,2439,369,749,0.493,9,22,0.409,360,727,0.495,0.499,184,246,0.748,50,117,167,352,83,5,171,194,931
75,T.R. Dunn,SG,31,DEN,81,53,1932,118,276,0.428,0,2,0,118,274,0.431,0.428,36,55,0.655,91,174,265,147,100,21,33,160,272
76,Mark Eaton,C,30,UTA,79,79,2505,234,585,0.4,0,0,,234,585,0.4,0.4,140,213,0.657,211,486,697,105,43,321,142,273,608
77,Jerry Eaves,PG,27,SAC,3,0,26,1,8,0.125,0,0,,1,8,0.125,0.125,2,2,1,1,0,1,0,1,0,2,6,4
78,Franklin Edwards,PG,27,SAC,8,0,122,9,32,0.281,0,4,0,9,28,0.321,0.281,10,14,0.714,2,8,10,29,5,0,17,7,28
79,James Edwards,C,31,PHO,14,9,304,57,110,0.518,0,0,,57,110,0.518,0.518,54,70,0.771,20,40,60,19,6,7,15,42,168
80,Craig Ehlo,SG,25,CLE,44,15,890,99,239,0.414,5,29,0.172,94,210,0.448,0.425,70,99,0.707,55,106,161,92,40,30,61,80,273
81,Dale Ellis,SG,26,SEA,82,76,3073,785,1520,0.516,86,240,0.358,699,1280,0.546,0.545,385,489,0.787,187,260,447,238,104,32,238,267,2041
82,Chris Engler,C,27,TOT,30,0,195,23,51,0.451,0,0,,23,51,0.451,0.451,12,16,0.75,23,34,57,8,5,11,12,33,58
82,Chris Engler,C,27,POR,7,0,17,4,8,0.5,0,0,,4,8,0.5,0.5,3,3,1,6,2,8,1,1,1,2,0,11
82,Chris Engler,C,27,MIL,5,0,48,3,12,0.25,0,0,,3,12,0.25,0.25,1,1,1,3,13,16,3,1,1,0,10,7
82,Chris Engler,C,27,NJN,18,0,130,16,31,0.516,0,0,,16,31,0.516,0.516,8,12,0.667,14,19,33,4,3,9,10,23,40
83,Alex English*,SF,33,DEN,82,82,3085,965,1920,0.503,4,15,0.267,961,1905,0.504,0.504,411,487,0.844,146,198,344,422,73,21,214,216,2345
84,Julius Erving*,SF,36,PHI,60,60,1918,400,850,0.471,14,53,0.264,386,797,0.484,0.479,191,235,0.813,115,149,264,191,76,94,158,137,1005
85,Mike Evans,SG,31,DEN,81,4,1567,334,729,0.458,53,169,0.314,281,560,0.502,0.495,96,123,0.78,36,92,128,185,79,12,107,149,817
86,Patrick Ewing*,PF,24,NYK,63,63,2206,530,1053,0.503,0,7,0,530,1046,0.507,0.503,296,415,0.713,157,398,555,104,89,147,229,248,1356
87,Dave Feitl,C,24,HOU,62,1,498,88,202,0.436,0,1,0,88,201,0.438,0.436,53,71,0.746,39,78,117,22,9,4,38,83,229
88,Kenny Fields,SF,24,TOT,48,17,883,159,352,0.452,3,12,0.25,156,340,0.459,0.456,73,94,0.777,63,85,148,61,32,11,53,123,394
88,Kenny Fields,SF,24,MIL,4,0,22,6,8,0.75,0,0,,6,8,0.75,0.75,1,5,0.2,0,2,2,1,1,0,1,3,13
88,Kenny Fields,SF,24,LAC,44,17,861,153,344,0.445,3,12,0.25,150,332,0.452,0.449,72,89,0.809,63,83,146,60,31,11,52,120,381
89,Vern Fleming,PG,24,IND,82,82,2549,370,727,0.509,2,10,0.2,368,717,0.513,0.51,238,302,0.788,109,225,334,473,109,18,167,222,980
90,Sleepy Floyd,PG,26,GSW,82,82,3064,503,1030,0.488,73,190,0.384,430,840,0.512,0.524,462,537,0.86,56,212,268,848,146,18,280,199,1541
91,World B. Free,SG,33,PHI,20,2,285,39,123,0.317,2,9,0.222,37,114,0.325,0.325,36,47,0.766,5,14,19,30,5,4,18,26,116
92,Kenny Gattison,PF,22,PHO,77,14,1104,148,311,0.476,0,3,0,148,308,0.481,0.476,108,171,0.632,87,183,270,36,24,33,88,178,404
93,Artis Gilmore*,C,37,SAS,82,74,2405,346,580,0.597,0,0,,346,580,0.597,0.597,242,356,0.68,185,394,579,150,39,95,178,235,934
94,Mike Glenn,SG,31,MIL,4,0,34,5,13,0.385,0,0,,5,13,0.385,0.385,5,7,0.714,0,2,2,1,1,0,0,3,15
95,Mike Gminski,C,27,NJN,72,66,2272,433,947,0.457,0,0,,433,947,0.457,0.457,313,370,0.846,192,438,630,99,52,69,129,159,1179
96,Grant Gondrezick,SG,24,PHO,64,1,836,135,300,0.45,4,17,0.235,131,283,0.463,0.457,75,107,0.701,47,63,110,81,25,4,56,91,349
97,Lancaster Gordon,SG,24,LAC,70,4,1130,221,545,0.406,14,48,0.292,207,497,0.416,0.418,70,95,0.737,64,62,126,139,61,13,102,106,526
98,Stewart Granger,PG,25,NYK,15,0,166,20,54,0.37,0,3,0,20,51,0.392,0.37,9,11,0.818,6,11,17,27,7,1,22,17,49
99,Stuart Gray,C,23,IND,55,1,456,41,101,0.406,0,0,,41,101,0.406,0.406,28,39,0.718,39,90,129,26,10,28,36,93,110
100,A.C. Green,PF,23,LAL,79,72,2240,316,587,0.538,0,5,0,316,582,0.543,0.538,220,282,0.78,210,405,615,84,70,80,102,171,852
101,Kenny Green,SF,22,PHI,19,0,172,25,70,0.357,0,0,,25,70,0.357,0.357,14,19,0.737,6,22,28,7,4,2,15,8,64
102,Rickey Green,PG,32,UTA,81,80,2090,301,644,0.467,7,19,0.368,294,625,0.47,0.473,172,208,0.827,38,125,163,541,110,2,133,108,781
103,Sidney Green,PF,26,DET,80,69,1792,256,542,0.472,0,2,0,256,540,0.474,0.472,119,177,0.672,196,457,653,62,41,50,127,197,631
104,Dave Greenwood,PF,29,SAS,79,78,2587,336,655,0.513,3,6,0.5,333,649,0.513,0.515,241,307,0.785,256,527,783,237,71,50,161,248,916
105,Darrell Griffith,SG,28,UTA,76,10,1843,463,1038,0.446,67,200,0.335,396,838,0.473,0.478,149,212,0.703,81,146,227,129,97,29,135,167,1142
106,Bob Hansen,SG,26,UTA,72,72,1453,272,601,0.453,16,45,0.356,256,556,0.46,0.466,136,179,0.76,84,119,203,102,44,6,77,146,696
107,Bill Hanzlik,PF,29,DEN,73,10,1990,307,746,0.412,22,80,0.275,285,666,0.428,0.426,316,402,0.786,79,177,256,280,87,28,132,245,952
108,Derek Harper,PG,25,DAL,77,76,2556,497,993,0.501,76,212,0.358,421,781,0.539,0.539,160,234,0.684,51,148,199,609,167,25,138,195,1230
109,Ron Harper,SG,23,CLE,82,82,3064,734,1614,0.455,20,94,0.213,714,1520,0.47,0.461,386,564,0.684,169,223,392,394,209,84,345,247,1874
110,Steve Harris,SG,23,HOU,74,3,1174,251,599,0.419,0,8,0,251,591,0.425,0.419,111,130,0.854,71,99,170,100,37,16,74,111,613
111,Scott Hastings,PF,26,ATL,40,0,256,23,68,0.338,2,12,0.167,21,56,0.375,0.353,23,29,0.793,16,54,70,13,10,7,13,35,71
112,Cedric Henderson,PF,21,TOT,8,0,16,4,8,0.5,0,0,,4,8,0.5,0.5,3,3,1,3,5,8,0,0,0,4,2,11
112,Cedric Henderson,PF,21,ATL,6,0,10,2,5,0.4,0,0,,2,5,0.4,0.4,1,1,1,2,1,3,0,0,0,1,1,5
112,Cedric Henderson,PF,21,MIL,2,0,6,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,1,4,5,0,0,0,3,1,6
113,Gerald Henderson,PG,31,TOT,74,59,2045,298,674,0.442,19,77,0.247,279,597,0.467,0.456,190,230,0.826,50,125,175,471,101,11,172,208,805
113,Gerald Henderson,PG,31,SEA,6,6,155,25,50,0.5,0,3,0,25,47,0.532,0.5,17,18,0.944,6,3,9,32,6,0,15,17,67
113,Gerald Henderson,PG,31,NYK,68,53,1890,273,624,0.438,19,74,0.257,254,550,0.462,0.453,173,212,0.816,44,122,166,439,95,11,157,191,738
114,Jerome Henderson,PF,27,MIL,6,0,36,4,13,0.308,0,0,,4,13,0.308,0.308,4,4,1,2,5,7,0,1,1,6,12,12
115,Kevin Henderson,PG,22,GSW,5,0,45,3,8,0.375,0,0,,3,8,0.375,0.375,2,2,1,1,2,3,11,1,0,4,9,8
116,Conner Henry,SG,23,TOT,54,0,323,46,136,0.338,13,42,0.31,33,94,0.351,0.386,17,27,0.63,7,27,34,35,9,1,26,34,122
116,Conner Henry,SG,23,HOU,18,0,92,8,33,0.242,1,11,0.091,7,22,0.318,0.258,7,10,0.7,0,7,7,8,3,0,9,7,24
116,Conner Henry,SG,23,BOS,36,0,231,38,103,0.369,12,31,0.387,26,72,0.361,0.427,10,17,0.588,7,20,27,27,6,1,17,27,98
117,Rod Higgins,SF,27,GSW,73,28,1497,214,412,0.519,3,17,0.176,211,395,0.534,0.523,200,240,0.833,72,165,237,96,40,21,76,145,631
118,Roy Hinson,SF,25,PHI,76,58,2489,393,823,0.478,0,1,0,393,822,0.478,0.478,273,360,0.758,150,338,488,60,45,161,149,281,1059
119,Craig Hodges,PG,26,MIL,78,43,2147,315,682,0.462,85,228,0.373,230,454,0.507,0.524,131,147,0.891,48,92,140,240,76,7,124,189,846
120,Mike Holton,PG,25,POR,58,1,479,70,171,0.409,7,23,0.304,63,148,0.426,0.43,44,55,0.8,9,29,38,73,16,2,41,51,191
121,Jeff Hornacek,SG,23,PHO,80,3,1561,159,350,0.454,12,43,0.279,147,307,0.479,0.471,94,121,0.777,41,143,184,361,70,5,153,130,424
122,Phil Hubbard,SF,30,CLE,68,68,2083,321,605,0.531,0,4,0,321,601,0.534,0.531,162,272,0.596,178,210,388,136,66,7,156,224,804
123,Jay Humphries,PG,24,PHO,82,82,2579,359,753,0.477,5,27,0.185,354,726,0.488,0.48,200,260,0.769,62,198,260,632,112,9,195,239,923
124,Geoff Huston,PG,29,LAC,19,8,428,55,121,0.455,1,2,0.5,54,119,0.454,0.459,18,34,0.529,6,11,17,101,14,0,45,28,129
125,Marc Iavaroni,PF,30,UTA,78,0,845,100,215,0.465,0,4,0,100,211,0.474,0.465,78,116,0.672,64,109,173,36,16,11,56,154,278
126,Myron Jackson,PG,22,DAL,8,0,22,2,9,0.222,0,0,,2,9,0.222,0.222,7,8,0.875,1,2,3,6,1,0,5,1,11
127,Buck Johnson,SF,23,HOU,60,3,520,94,201,0.468,0,1,0,94,200,0.47,0.468,40,58,0.69,38,50,88,40,17,15,37,81,228
128,Clemon Johnson,C,30,SEA,78,7,1051,88,178,0.494,0,2,0,88,176,0.5,0.494,70,110,0.636,106,171,277,21,21,42,36,137,246
129,Dennis Johnson*,PG,32,BOS,79,78,2933,423,953,0.444,7,62,0.113,416,891,0.467,0.448,209,251,0.833,45,216,261,594,87,38,177,201,1062
130,Eddie Johnson,SG,31,SEA,24,0,508,85,186,0.457,5,15,0.333,80,171,0.468,0.47,42,55,0.764,11,35,46,115,12,1,41,36,217
131,Eddie Johnson,SF,27,SAC,81,30,2457,606,1309,0.463,37,118,0.314,569,1191,0.478,0.477,267,322,0.829,146,207,353,251,42,19,163,218,1516
132,Frank Johnson,PG,28,WSB,18,10,399,59,128,0.461,0,1,0,59,127,0.465,0.461,35,49,0.714,10,20,30,58,21,0,31,31,153
133,Magic Johnson*,PG,27,LAL,80,80,2904,683,1308,0.522,8,39,0.205,675,1269,0.532,0.525,535,631,0.848,122,382,504,977,138,36,300,168,1909
134,Marques Johnson,SF,30,LAC,10,10,302,68,155,0.439,0,6,0,68,149,0.456,0.439,30,42,0.714,9,24,33,28,12,5,17,24,166
135,Steffond Johnson,PF,24,LAC,29,0,234,27,64,0.422,0,3,0,27,61,0.443,0.422,20,38,0.526,15,28,43,5,9,2,18,55,74
136,Steve Johnson,C,29,POR,79,74,2345,494,889,0.556,0,0,,494,889,0.556,0.556,342,490,0.698,194,372,566,155,49,76,276,340,1330
137,Vinnie Johnson,SG,30,DET,78,8,2166,533,1154,0.462,4,14,0.286,529,1140,0.464,0.464,158,201,0.786,123,134,257,300,92,16,133,159,1228
138,Anthony Jones,SF-SG,24,TOT,65,4,858,133,322,0.413,7,20,0.35,126,302,0.417,0.424,50,65,0.769,40,64,104,73,42,19,49,79,323
138,Anthony Jones,SG,24,WSB,16,1,114,14,33,0.424,0,1,0,14,32,0.438,0.424,9,13,0.692,1,8,9,7,10,1,11,11,37
138,Anthony Jones,SF,24,SAS,49,3,744,119,289,0.412,7,19,0.368,112,270,0.415,0.424,41,52,0.788,39,56,95,66,32,18,38,68,286
139,Caldwell Jones,PF,36,POR,78,37,1578,111,224,0.496,0,2,0,111,222,0.5,0.496,97,124,0.782,114,341,455,64,23,77,87,227,319
140,Charles Jones,PF,29,WSB,79,64,1609,118,249,0.474,0,1,0,118,248,0.476,0.474,48,76,0.632,144,212,356,80,67,165,77,252,284
141,Michael Jordan*,SG,23,CHI,82,82,3281,1098,2279,0.482,12,66,0.182,1086,2213,0.491,0.484,833,972,0.857,166,264,430,377,236,125,272,237,3041
142,Clark Kellogg,PF,25,IND,4,4,60,8,22,0.364,1,2,0.5,7,20,0.35,0.386,3,4,0.75,7,4,11,6,5,0,4,12,20
143,Tim Kempton,PF,23,LAC,66,6,936,97,206,0.471,0,1,0,97,205,0.473,0.471,95,137,0.693,70,124,194,53,38,12,49,162,289
144,Jerome Kersey,SF,24,POR,82,8,2088,373,733,0.509,1,23,0.043,372,710,0.524,0.51,262,364,0.72,201,295,496,194,122,77,149,328,1009
145,Albert King,SF,27,NJN,61,15,1291,244,573,0.426,13,32,0.406,231,541,0.427,0.437,81,100,0.81,82,132,214,103,34,28,103,177,582
146,Bernard King*,SF,30,NYK,6,4,214,52,105,0.495,0,0,,52,105,0.495,0.495,32,43,0.744,13,19,32,19,2,0,15,14,136
147,Curtis Kitchen,PF,23,SEA,6,0,31,3,6,0.5,0,1,0,3,5,0.6,0.5,3,4,0.75,4,5,9,1,2,3,0,4,9
148,Greg Kite,C,25,BOS,74,1,745,47,110,0.427,0,1,0,47,109,0.431,0.427,29,76,0.382,61,108,169,27,17,46,34,148,123
149,Joe Kleine,C,25,SAC,79,31,1658,256,543,0.471,0,1,0,256,542,0.472,0.471,110,140,0.786,173,310,483,71,35,30,90,213,622
